Esum,phi,eff
2150.0,102.5,0.00022360000000000001
2150.0,107.5,0.00021840000000000002
2150.0,112.5,0.00021720000000000002
2150.0,117.5,0.00021500000000000002
2150.0,122.5,0.00021160000000000002
2150.0,127.5,0.00019880000000000003
2150.0,132.5,0.000199
2150.0,137.5,0.0001899
2150.0,142.5,0.00017840000000000003
2150.0,147.5,0.0001658
2150.0,152.5,0.00015800000000000002
2150.0,157.5,0.0001294
2150.0,162.5,0.00010660000000000002
2150.0,167.5,7.900000000000001e-5
2150.0,172.5,4.7300000000000005e-5
2150.0,177.5,2.0e-5
2250.0,2.5,1.9000000000000002e-6
2250.0,7.5,9.400000000000001e-6
2250.0,12.5,2.5500000000000003e-5
2250.0,17.5,4.49e-5
2250.0,22.5,6.630000000000001e-5
2250.0,27.5,9.45e-5
2250.0,32.5,0.0001251
2250.0,37.5,0.0001521
2250.0,42.5,0.00017290000000000003
2250.0,47.5,0.0001959
2250.0,52.5,0.00022590000000000004
2250.0,57.5,0.0002324
2250.0,62.5,0.0002619
2250.0,67.5,0.0002686
2250.0,72.5,0.0002884
2250.0,77.5,0.000307
2250.0,82.5,0.0003105
2250.0,87.5,0.0003316
